Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR1382274	0	0.00372198560098262	0.033765976518433	0.0911066197349873	0	0.0809890445410361	0	0.0252825563277465	0.0165999560522198	0	0	0.0560780158126865	0	0.186177319885976	0.0205859120612232	0.0799402941566596	0.0053495369394158	0.0392310923100906	0	0.331598609273818	0.0165483349019888	0.0130247458827365	0	0.169095218907765	1.05749066625796
SRR1382275	0.106416999023911	0	0.0754961401865792	0.0550609713943786	0.00672377468191577	0.0226406950840312	0.0960156688170281	0.0642050652915452	0.0196879810293568	0	0.059738297837261	0	0	0.0857218534866185	0.0610028497281138	0.0713408108285619	0	0.0671813125237198	0	0.185614221150691	0.00155644732412285	0.0215969116121651	0	0.264196449943344	0.978393504861488
SRR1382276	0.16382797603274	0	0.0612817663294549	0.0358280879928907	0	0.175182535531571	0.0554575280191688	0.0409741777073919	0.00647340687857463	0	0.036036916619614	0	0.000759718827425512	0.0881681032215038	0.0248094200395635	0.0805619647608658	0.0368111617459527	0.0490859377452918	0	0.128835818911013	0.0112018067734228	0.00470367286355555	0	0.300042813698685	0.959900453744425
SRR1382277	0	0.0932657275305979	0.101235403109722	0.0883571675858424	0	0.193857331112566	0.112022898646249	0.0539059832463144	0	0	0.0509219142166443	0	0	0.03256362091329	0.0402646579716969	0.00657471388424906	0	0.0653757578827038	0	0.120420908081944	0	0.04123391581818	0	0.271717951294533	0.975174913947418
SRR1382278	0.0197510119843001	0	0.0213875678984687	0.130328335815552	0	0	0.22178023020121	0.132648077181293	0	0	0	0.0472325122880875	0	0.0914838650938731	0.0647418629517449	0.06212577435187	0	0.0637666250898862	0	0.131198177571557	0	0.0135559595721569	0.15	0.0649140110062938	1.06858747760312
SRR1382279	0.000243039108089638	0.00741313025941537	0.0386175924877734	0.0430300707737994	0	0.0372164123944058	0.00394413915369691	0.0803594499109824	0.0363687494555802	0	0.068872917160225	0	0	0.11821207651863	0.0128914201162506	0.0719113931824687	0.111917230931169	0.146008603290432	0	0.21663211534897	0.00636165990811156	0	0.13	0.0715138710503414	1.06686862578138
SRR1382280	0.0304970113925586	0	0.0743339605376362	0	0	0.154450053979141	0.00537166723122988	0.0785767670699571	0	0	0.0260916344893245	0.0111775477150764	0	0.237022371970474	0.0406888124525006	0.0811155143615778	0	0.14587446666602	0	0.114800192134504	0	0	0.05	0.132047229074288	1.04006260845095
SRR1382281	0	0.0323978317800971	0.044953251609611	0.0634497226361075	0	0.154267615256878	0.212240737301684	0.0895877029278446	0.0213198701006757	0.0405203634570077	0.0112897071307834	0	0.00123090095929481	0.0853637546500871	0.0911689382233195	0.0305663868717747	0.00495621452109571	0	0	0.100911072912777	0.0157759296609624	0	0.07	0.117153377829765	1.04352445411989
SRR1382282	0.152568262332149	0	0.0792460207769241	0.0330602278009271	0	0.216554003426908	0.0324304651993947	0.0725727767724754	0.0121805027266727	0	0.0166429660364825	0.00986900816399576	0.00411821002621186	0.100299785269077	0.0326983948992817	0.0493144445027812	0	0.0890929488818986	0	0.0987566949133416	0	0.000595288271478533	0	0.291732525002567	0.966052939129733
