Gene Symbol	SRR1382274	SRR1382275	SRR1382276	SRR1382277	SRR1382278	SRR1382279	SRR1382280	SRR1382281	SRR1382282
A1BG	0	0.114141590761967	1.04574885215828	0.141890647833807	0.0952345013192992	0	0.120080172194611	0	0.738903543973707
A1BG-AS1	1.32075107622696	0.676425935769275	0.413154481306162	2.85896618603608	0.790130229825472	1.49421544920575	0.142323831833507	0	0.525466853411533
A1CF	0	0.760516041165647	0	0	0.158634914412528	0.477264010831862	0	0	0
A2M	204.190248651382	466.494459314425	865.227160010081	523.772954480673	442.025963611825	179.177283177673	664.513124571772	399.024546734633	189.228004937188
A2M-AS1	0.251934313160886	0.774172695822773	3.0735722284686	5.77429478311461	1.55024194345676	1.24373576554094	1.62890301426815	6.44390548426426	2.20513080026183
A2ML1	0.207574721967102	671.283283763917	177.364690014467	68.1919791211795	164.077454206544	1210.67066089485	635.547787047206	17.4692710245075	561.740123044452
A3GALT2	84.2164938445767	31.2332898357747	66.7694797423485	16.6399032459647	30.1547061904654	69.8899259216877	4.69404309488027	72.4810846492269	66.4341459081815
A4GALT	177.381563093815	48.7987931813881	90.4968260703049	78.9116936334169	53.7580325633609	166.511699855343	136.566879457704	269.352253170991	71.4520167108068
A4GNT	0	1.02631190884116	0	12.758194506743	0.214076880705946	1.03050394514185	0	0	0
AAAS	264.902934390591	227.019076083279	213.653658311213	206.465751043436	153.23946478014	169.287250959342	170.05623414573	264.718981121913	164.152791732459
AACS	40.3788548994894	28.0889296451253	22.5536907270437	28.231293668467	26.3092331204983	50.9780452153923	60.1785163226239	16.1231580303893	27.2661350650244
AADAC	35.4968037410949	0	0.427078192379593	0	0	3.08914394952219	0	43.1809937791601	2.53481947383039
AADACL2	0.439382186076687	0.0900122700566174	0.824679483293427	0.783266595308967	0.976327355568213	0.0903799309015652	0.378781785530468	66.2219393353149	1.74810211340023
AADACL4	1.46561885584271	0.450372196800303	0	0	0	17.8623649425482	0.473804251214851	0	0
AADAT	4.75129452820457	13.5245102653958	33.7935326042907	26.3650022541618	3.20574722875318	33.1778031529949	14.7132173007303	2.06328156485403	2.18879649803767
AAGAB	108.587463725222	144.171835051822	135.591649594155	128.074174587247	146.520466668728	85.9482128011178	140.416321027928	132.24398257906	156.955433751261
AAK1	17.1602122080192	32.0433391386384	47.2460601045979	30.6287952188463	51.462753350828	26.5105259726217	33.9811081564139	50.1227177682109	66.8215967478449
AAMDC	17.5832775806081	18.0889454720521	23.6754741418377	14.3096316694197	11.1724333166367	11.0864032893908	16.5586416760776	29.6462659431779	24.9407897408924
AAMP	270.581905510867	173.167962248375	122.515382831554	169.204667209891	186.993177140365	161.123423958224	234.048676338693	272.999503862717	187.835279178571
AANAT	0.688963223746097	4.02253812972404	3.55607964267089	1.05272857270389	3.70950750755725	0.850309145829011	2.89545821515829	0.852682687516205	11.5125010611072
AAR2	42.8854329362887	23.9150663278857	14.7218087963761	13.3858675789648	27.1097789099822	35.2647962154205	24.6982894290693	24.2898980326588	35.7454394488198
AARS1	458.536085220492	255.262263970597	384.338367281783	381.879446979017	506.118042076179	335.68741430439	302.983717334897	351.543676714844	333.490314207748
AARS2	105.553844834553	103.272097414752	73.9273817511834	67.5449288876259	46.8606614174821	76.9398386206823	119.546317098657	176.403488890752	92.2200676376573
AARSD1	28.2724168690495	38.3252270175919	18.8172680875674	30.6382667757773	21.5920577383732	24.1284402733149	18.798349958938	16.2132487112962	22.337070093365
AARSD1P1	1.25668757224753	3.08935513676553	2.3586856513147	0.480051354219455	0.644404011465106	4.65296070661763	0	1.55531630650164	0.499978895490838
AASDH	65.4293007372798	71.3022700900981	83.5671075117383	96.4395733226752	71.1932124140553	65.7833065264347	47.66924821145	102.571339211285	123.680640965609
AASDHPPT	9.7740273297793	18.2489643760962	12.7717936191878	3.96995992484935	13.2593934852838	11.3758417142552	12.7989500877895	11.8414420243796	37.606608497019
AASS	23.0034475768702	24.2237033206712	68.3072398817774	44.5920484083105	75.4220797893796	81.7393471248099	47.8602307763997	11.5578867835961	96.4924136644158
AATF	75.645044486671	69.9981029038295	60.610459212786	53.9178041377164	63.3850205906705	38.3470187005404	63.4868266581856	59.2880690020317	70.8392146740468
AATK	3.5509029655834	1.73200357234995	2.59183341338782	13.1768030970891	7.54344412024771	3.19990361412833	4.51884916651553	1.86019465663397	4.7539922420762
ABAT	18.6574049900529	5.59227986753791	24.1826595858847	10.807456977985	12.2333928222047	23.5457632215913	10.3327424275411	9.27425201688067	29.9959540671053
ABCA1	202.388519784706	178.347548752349	425.027855604117	261.074551431501	162.067182803065	206.955635794817	224.415359800911	372.60376681487	565.810552018518
ABCA10	2.12074438129197	14.1741855800482	15.6729820681857	9.92395514587118	8.97166788978272	8.88823445866739	13.1405282545435	15.9669271651161	18.7030772741303
ABCA11P	5.05782965905647	3.43566188193521	4.99635562697846	5.69454466639681	1.09202228179463	1.64271193405676	4.13075792349464	5.93027056220948	2.96546622314781
ABCA12	38.0853194417265	90.5877718473226	95.6242909862544	69.0536945916636	88.1397092756738	142.490992914488	130.614165956454	27.3443825694556	405.150466404503
ABCA13	7.94292427053482	22.1107131127846	227.422059261483	3.12341670103154	305.95201150037	36.6893574522676	63.0365569567525	601.133054707204	591.625669209037
ABCA17P	2.59844146175247	1.52752492729789	0.212044907199116	0.345251415082079	0.115863331541186	1.53376420006699	0.14609084533199	0.27964464166184	0.80906228935679
ABCA2	52.215712640603	73.5829382813012	67.5367728434255	97.0931919399916	29.886245069142	39.8692053733761	44.4019681547798	81.5852407347564	149.400055049424
