Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR1382274	0.0780046267114922	0	0.00872830010973219	0.0596496288558803	0	0.0201701589566832	0	0.00318008973542911	0	0	0	0.0774906365440424	0.00623646634469706	0	0.00740150071403303	0.0505660135338742	0.0443114011789913	0	0	0.634496868645186	0	0.00976430866995879	0.00700000000000001	0.358965858868525	1.05220725749855
SRR1382275	0.15089747494045	0	0.0140898951552864	0.0545952986246138	0	0.177164782493189	0	0.0174262175856823	0.0133284074710471	0	0	0.0111666180625753	0.00963141120846573	0	0.0259026214900365	0.0390001688743719	0.0198823139508772	0.00255004323626083	0	0.453215016944795	0.00452138212623763	0.00662834783611079	0.075	0.162378740196519	1.09368997122971
SRR1382276	0.141337347422039	0	0.0465830666758607	0.140692301505983	0	0.15968119600593	0	0.0384197463750773	0	0	0	0.0169970781009505	0.036064765800633	0.0119190659982394	0.0304155815110467	0.0732536321951028	0.0467103468578062	0	0	0.257925871551331	0	0	0.027	0.245076815048188	0.998910011213287
SRR1382277	0.0959731127026463	0	0.0215104072926736	0.10797180920099	0	0.219976502818993	0	0.0391551788352214	0.0313432594148391	0	0.00454929727569786	0.00319484743290262	0.0203544103147354	0	0.0272178782414064	0.0290299119323224	0	0.00499285973950333	0	0.377989172050349	0	0.0167413527477201	0.09	0.150844222616247	1.07933915252345
SRR1382278	0.0819589085686052	0	0	0.236890710120614	0	0.00818023764274041	0.0753720080917875	0.0616386767521076	0.00285480149901444	0	0	0.0865511737963792	0.00623161404731746	0.0498149212337139	0.0156715414405594	0.131424904489575	0.00812172259785706	0	0	0.224787488913648	0	0.0105012908060811	0.004	0.397957410698015	0.92502547791761
SRR1382279	0.0582687875491721	0	0.0121085539076165	0.123835121550857	0	0	0	0.0265836847034233	0.0586495832220217	0	0	0.0951312414867735	0.0117232630690091	0	0.0214000087029811	0.0745309022632713	0.150651741066817	0	0	0.364649542747555	0	0.00246756973050285	0.042	0.208758180852305	1.05014088312809
SRR1382280	0.101288943691647	0	0.0188292815394361	0.0262834640221024	0	0.126736068723882	0	0.0346719485809181	0.0167540708474051	0	0	0.0381568886273911	0.010084435217203	0	0.0236532281855822	0.0411159193512026	0	0.0532721845680565	0	0.500282592991937	0	0.00887097365323679	0.045	0.198956006298555	1.09412735570376
SRR1382281	0.100369179317466	0	0.0121079574186807	0.286459551190271	0	0	0.0471018042498654	0.0781259002612152	0.0105458957182651	0.00392686733818616	0	0.0310459491427051	0.0145742643366398	0.035658437538909	0.08622479656236	0.125808235462414	0.0371938042626435	0	0	0.130857357200379	0	0	0.00800000000000001	0.340658038898296	0.947285589232993
SRR1382282	0.259128449068887	0	0.0494596356495762	0.138657923242707	0	0.0371783765403125	0.0121650021199053	0.0300185779343323	0.0169976691727472	0	0	0.0669780007553653	0.00893314415895602	0.00895263568253411	0.0331151845932712	0.0961822781984693	0.00698787896826237	0	0	0.217654310868209	0	0.0175909330464644	0.004	0.394427834241502	0.925408266683897
