Gene Symbol	SRR1382274	SRR1382275	SRR1382276	SRR1382277	SRR1382278	SRR1382279	SRR1382280	SRR1382281	SRR1382282
A2M	29.3653902490255	66.82087799747	125.173475451167	75.7949459825044	63.2858104039344	25.3511104938529	95.2904395839114	57.3980117540653	27.1058125341741
A2M-AS1	0	0	1.09310674772171	0	0	0	0	0	0
A2ML1	0.0127529476140797	57.3148406807368	14.7434243380283	5.27659972995656	13.9211427522857	99.2113652579843	53.0020384944043	1.46596630446582	47.5123909852942
A3GALT2	0.515553455876552	0.244887683942342	0.161392067224494	0	0.116716787186989	0.31236295953888	0	0.376276032922283	0.0452440659876052
A4GALT	22.7365273986014	6.25535365841288	11.5748833001298	10.0316863036811	6.86578860314092	21.1066469191004	17.421723513083	34.4258299318574	9.13450525381938
A4GNT	0	0.231124694560669	0	2.8890358297934	0.0481937575118435	0.286618671677471	0	0	0
AAAS	79.6098692824063	67.7149884209817	64.1789475140647	61.9971755228487	45.6927315447271	49.9198417707101	50.9241089229386	79.1517892502777	48.9463451036621
AACS	9.22229243002965	6.38528401348621	5.17681042898374	6.44477323417479	6.01299716316189	11.4625466364741	13.6891448668563	3.69525223075523	6.1934723897748
AADACL2	0.0598780280296141	0	0.0281168866628826	0.0914201171636053	0.0762517188753971	0.0181394168087594	0.0771529329778419	11.2587026235359	0.236465576794175
AADACL4	0.14284055677489	0.0436173473251018	0	0	0	1.7957896409518	0.0460125703284694	0	0
AADAT	0.495581132425799	1.40178544338092	3.52738928703782	2.76770788916199	0.33215692522379	3.41350654989829	1.52917613168383	0.214164034400021	0.226612719226247
AAGAB	9.15470469599621	12.1013650113109	11.468096836043	10.8621765573113	12.3253362851741	7.18874046565999	11.8152524225317	11.1638472992059	13.1768303684788
AAK1	2.25040179504258	4.09292496006059	6.12291553493638	3.96310663701632	6.6091652866589	3.36384150569801	4.39347748248216	6.40951311595116	8.59636710048573
AAMDC	0.101234744195726	0.175172114225459	0.245606453650998	0.173882708565095	0.047269735158497	0.0664473281546631	0.13587617352762	0.0900486223058753	0.139925888309227
AAMP	151.045601676152	96.058116330648	68.441093787708	94.5862451485732	103.89963930822	88.3908295959793	130.185487132342	151.877748962185	104.293248175163
AANAT	0.0979361269567684	0.598109411164037	0.551853640968254	0.186907712552537	0.548754065076109	0.118674865286197	0.410120272585978	0.120620065751366	1.62439877781443
AAR2	9.93621381119957	5.506046898139	3.4355815935279	3.09892858465771	6.23947904363449	8.03638944488447	5.71717693441784	5.639196111244	8.23932314096104
AARS1	137.875044171425	76.2139454602065	115.564537683545	114.888224663684	151.115462022852	99.0954825639254	90.7470486676384	105.218528391996	99.4598749495771
AASDH	6.88904607495173	7.44670458666633	8.77256917459713	10.1232614888175	7.43462779299512	6.89253910845254	4.98634098456347	10.7376804930267	12.8979937964028
AASDHPPT	1.3094856783765	2.44239095685068	1.4956889302526	0.702452019704109	1.92896766078677	1.41523575124728	1.75567736342939	1.6563772665464	5.56266030269704
AASS	3.49114604264557	3.62895717003345	10.2905759706098	6.6902472356057	11.2469623079371	12.0735535998321	7.15223927148959	1.75034654101884	14.3807326808194
AATF	9.51513657580041	8.72815012637653	7.59312794550099	6.74115363391979	7.9191897337936	4.73736293576657	7.90400196581826	7.40675164030942	8.79486601368917
AATK	0.2798941937113	0.278894335163371	0.428875975511432	3.0250799490557	0.945481365186329	0.401641544726901	0.711797580285392	0.0725733073455874	0.884268826281981
ABAT	1.80663302348409	0.47872001826863	2.117343198332	0.968830468780917	1.09138659525725	2.16658593002252	0.846490720997553	0.876548584199556	2.84205220348942
ABCA1	17.3192762700767	15.139866703403	36.3713824424704	22.319455888237	13.79589688071	17.3796672749068	19.1022503713775	31.7808199993149	48.1327454052013
ABCA10	0.201828689973776	1.35071934218332	1.51636106613374	0.975797129429589	0.856729646098712	0.84579589738641	1.27861153508625	1.54669632845966	1.79999535611825
ABCA12	1.06652718918326	2.06783191067128	2.41654053841677	1.75849068653938	1.95293714452559	3.51679096336695	3.17501466576832	0.504587777289904	10.0332721624082
ABCA13	0.353572686476187	0.974325997785203	10.0928155228995	0.139564511946496	13.4936651202768	1.59987430931979	2.786809838056	26.5500393333276	26.0842707996828
ABCA17P	0.337609488661501	0.200455463960342	0.061650970861225	0.0644316037631422	0.0477698946530871	0.176140678052153	0.0120836209822064	0.046200722843019	0.118512063561457
ABCA2	30.6250838654033	42.8854913133654	39.5688716549928	56.9008520690614	17.37383513978	22.9587727387146	25.9492821725222	47.6181925743962	86.9766988981144
ABCA3	0.329097455198313	49.7590861923874	11.0432429524566	3.24664453827823	4.79051417957048	1.67183532067378	2.2343782463529	1.44461244874556	1.01972198340633
ABCA4	0.249548792372993	0.121140753382929	0.186286891595914	0.161194082282129	0.0521498409617305	0.0387682941638482	0.638965661200117	1.4868346642098	0.192045836546102
ABCA5	1.27710143154951	9.12352427831408	14.6528340578339	8.26038200663334	10.6656712513523	13.2320464301601	10.2368343036175	18.8992258651602	14.6063931980978
ABCA6	0.246857342255583	2.39627745520951	3.50190275113002	5.09800028741131	0.880209859835973	0.488056345965312	2.74549873068196	1.34415196036068	2.87329960730602
ABCA7	12.9051103838564	15.3509459828377	13.7778549197764	22.5459109091251	28.5673999910286	22.0563960620471	36.9172078380322	17.1857560587981	52.6879920640099
ABCA8	0.00931907200969386	0.193503709762083	3.28196293517984	5.91889018618564	0.465201261161834	0.107278352455109	3.51823819552694	0.267809567805701	0.206091999664143
