"ENSEMBL"	"SYMBOL"	"ENTREZID"
"101"	"ENSG00000166415"	"WDR72"	"256764"
"102"	"ENSG00000140675"	"SLC5A2"	"6524"
"103"	"ENSG00000103044"	"HAS3"	"3038"
"104"	"ENSG00000225614"	"ZNF469"	"84627"
"105"	"ENSG00000132517"	"SLC52A1"	"55065"
"106"	"ENSG00000133020"	"MYH8"	"4626"
"107"	"ENSG00000231870"	"KRT17P3"	"729682"
"108"	"ENSG00000167916"	"KRT24"	"192666"
"109"	"ENSG00000229028"	"KRT223P"	"643115"
"110"	"ENSG00000094796"	"KRT31"	"3881"
"111"	"ENSG00000225438"	"KRT41P"	"8686"
"112"	"ENSG00000171401"	"KRT13"	"3860"
"113"	"ENSG00000171346"	"KRT15"	"3866"
"114"	"ENSG00000123700"	"KCNJ2"	"3759"
"115"	"ENSG00000154080"	"CHST9"	"83539"
"116"	"ENSG00000197641"	"SERPINB13"	"5275"
"117"	"ENSG00000142449"	"FBN3"	"84467"
"118"	"ENSG00000007306"	"CEACAM7"	"1087"
"119"	"ENSG00000221826"	"PSG3"	"5671"
"120"	"ENSG00000104783"	"KCNN4"	"3783"
"121"	"ENSG00000125740"	"FOSB"	"2354"
"122"	"ENSG00000105419"	"MEIS3"	"56917"
"123"	"ENSG00000124225"	"PMEPA1"	"56937"
"124"	"ENSG00000275842"	"MIR941-5"	"103504732"
"125"	"ENSG00000099953"	"MMP11"	"4320"
"126"	"ENSG00000100285"	"NEFH"	"4744"
"127"	"ENSG00000133488"	"SEC14L4"	"284904"
"128"	"ENSG00000100336"	"APOL4"	"80832"
"129"	"ENSG00000100342"	"APOL1"	"8542"
"130"	"ENSG00000100097"	"LGALS1"	"3956"
"131"	"ENSG00000128383"	"APOBEC3A"	"200315"
"132"	"ENSG00000128383"	"APOBEC3A_B"	"100913187"
"133"	"ENSG00000138944"	"SHISAL1"	"85352"
"134"	"ENSG00000073146"	"MOV10L1"	"54456"
"135"	"ENSG00000157399"	"ARSL"	"415"
"136"	"ENSG00000189221"	"MAOA"	"4128"
"137"	"ENSG00000102313"	"ITIH6"	"347365"
"138"	"ENSG00000198910"	"L1CAM"	"3897"
