"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
43	61	42	57	90	48	80	52	53
69	142	61	48	50	46	54	140	46
0	72	467	45	58	119	9	114	99
7	19	47	71	72	89	55	53	60
24	147	164	24	217	127	168	239	87
286	233	105	286	248	249	232	134	161
0	2	11	10	9	1	0	9	16
4	42	35	39	126	102	61	82	86
13	1	6	0	19	2	4	5	1
0	3	1	0	2	0	0	0	0
81	286	75	140	230	94	134	220	113
137	186	149	175	237	191	122	175	118
0	1	2	9	2	63	0	0	0
34	11	2	34	9	7	21	9	21
90	107	69	46	27	40	99	48	23
0	2	2	0	14	0	0	6	1
240	407	148	227	269	252	331	180	238
37	18	21	10	46	43	26	10	40
103	297	185	221	452	180	186	150	177
93	161	1090	526	240	349	207	529	366
49	65	146	84	263	210	158	10	186
14	19	17	23	62	50	25	12	49
0	7	9	42	11	16	23	0	5
7	7	10	3	10	11	16	4	21
12	2	26	4	20	0	3	0	17
91	69	56	150	146	85	41	84	43
4	7	13	0	2	3	9	9	13
1	10	6	3	35	17	29	0	22
2	4	0	1	1	7	1	0	3
0	0	0	2	0	0	0	0	0
163	316	131	203	308	119	92	188	128
823	596	477	943	770	899	931	568	788
6	21	12	7	12	0	60	9	8
96	136	52	87	129	135	107	89	116
19	1	8	56	1	0	0	0	4
786	2232	1677	2140	2212	1766	2118	1892	2383
73	84	67	105	171	84	80	88	69
3723	7259	4898	3563	7644	4100	5314	2951	3249
28	41	16	7	31	42	17	6	16
382	889	294	505	682	367	459	459	248
20	26	31	50	53	26	39	63	7
0	0	0	0	0	0	3	0	0
9	31	41	40	5	33	21	47	17
0	1	0	6	0	0	0	2	0
0	12	18	7	36	36	40	26	18
42	274	34	34	51	7	35	27	5
75	252	150	196	137	180	134	103	56
0	10	0	3	4	1	4	0	5
6	25	2	0	2	7	2	5	21
50	98	80	118	174	91	113	58	92
336	1160	1254	1107	3176	2483	1607	1247	1161
1	1	4	0	4	4	7	13	4
21	47	38	31	55	45	62	25	70
37	26	22	29	25	9	16	7	19
21	22	6	0	11	14	15	11	8
187	300	119	209	334	302	237	199	286
222	525	197	346	247	301	262	449	151
133	95	48	62	23	70	22	28	95
243	909	679	673	1459	1214	873	690	882
273	472	316	221	412	438	175	300	307
12	41	17	37	23	7	36	17	8
6	44	50	66	66	16	127	28	37
0	6	12	13	0	0	6	9	2
6	9	9	6	6	8	19	3	2
121	167	132	285	182	292	318	216	207
977	681	349	641	700	650	1318	593	399
9	40	46	88	41	26	64	47	101
0	4	0	6	0	0	0	2	0
95	79	121	64	113	230	80	104	182
23	4	25	6	4	33	27	0	8
1	1	0	2	2	1	1	0	0
2	17	2	0	13	12	6	8	3
1	6	10	52	8	7	30	0	1
39	23	10	66	17	4	16	28	3
11	120	79	81	75	90	81	42	82
74	52	37	96	89	73	42	131	70
11	27	17	23	68	15	25	25	5
1	0	0	1	0	1	0	0	0
0	11	8	16	4	5	11	8	11
0	0	0	1	0	1	3	0	0
47	36	12	29	43	47	38	26	28
11	32	19	42	20	55	42	19	73
3	42	16	6	2	16	5	0	0
0	7	0	23	0	8	0	0	0
12	13	5	17	34	31	10	6	9
0	23	5	2	18	2	7	15	14
6	26	10	3	34	14	11	13	4
140	261	238	367	356	314	350	201	253
0	13	25	21	34	29	19	14	24
104	129	283	123	692	692	91	271	299
73	375	126	77	220	152	208	73	96
4	38	27	13	72	23	41	18	22
336	337	229	251	435	327	410	304	299
114	176	104	143	135	79	58	93	141
87	222	117	264	380	170	215	227	85
691	816	392	598	1272	881	1218	422	697
0	0	0	0	2	0	1	0	0
3	4	6	1	3	4	2	3	0
256	1205	746	1443	1347	941	905	1122	537
65	115	62	95	259	48	90	29	38
109	209	124	57	114	87	107	126	117
0	0	0	0	0	0	2	0	0
79	197	119	168	235	351	307	137	344
2	49	54	55	8	12	34	7	2
4	3	0	7	0	17	8	3	9
355	236	137	213	244	219	324	250	352
11	48	28	43	29	32	11	22	46
7	51	56	71	113	25	48	52	70
61	85	48	44	104	31	66	73	23
0	0	0	0	1	1	1	0	0
0	0	7	0	0	4	0	1	1
25	32	32	30	68	86	26	60	35
36	43	46	43	67	18	34	33	52
0	7	16	15	5	2	3	5	7
30	0	8	159	5	21	32	0	2
218	155	116	246	177	252	250	177	236
22	32	18	28	75	113	40	67	72
591	396	221	286	325	764	608	301	498
27	62	25	61	74	55	46	90	46
2	18	7	0	12	8	4	1	26
49	297	172	192	217	334	298	182	166
1393	1163	2151	1499	2548	2037	2069	2557	2078
15	34	24	24	64	14	18	5	18
54	71	84	113	78	584	171	52	92
310	492	398	357	628	323	406	487	614
71	75	50	113	76	45	58	26	83
10	2	0	0	0	1	0	0	0
4	0	0	1	1	2	2	0	0
1182	1061	407	497	534	601	825	567	436
41	94	46	211	123	146	186	56	140
29	34	18	21	36	24	35	19	33
17	63	39	115	43	37	18	56	20
4	43	11	43	10	17	29	21	20
105	517	355	376	1103	442	474	387	340
232	115	145	103	110	195	159	248	182
114	222	157	163	90	89	115	192	106
24	25	4	5	17	17	11	12	13
660	446	203	176	427	491	348	180	219
0	7	2	0	2	5	5	2	0
114	45	66	238	148	111	186	16	36
14	6	0	7	7	5	8	0	2
14	35	60	69	88	25	27	33	66
178	271	62	83	289	178	128	182	221
392	690	340	762	407	849	587	217	416
70	47	53	71	70	91	60	44	128
499	393	363	515	479	671	535	299	507
1417	1578	886	699	2130	2565	2589	1169	1941
0	8	11	18	10	154	51	31	51
34	41	23	12	66	19	17	27	40
0	26	10	3	28	10	6	16	8
128	66	36	42	38	69	47	26	49
280	429	236	374	633	217	299	254	167
278	2318	612	702	2059	979	943	2459	1750
4	26	6	34	45	12	21	13	24
3	12	18	12	46	17	13	26	20
71	74	57	116	107	83	73	138	72
0	9	4	12	2	7	11	2	2
3	21	13	17	39	29	15	28	33
706	1420	891	992	2149	1236	1205	1115	709
0	0	0	0	0	0	0	0	3
3	7	1	0	3	1	7	1	0
19	9	13	0	4	2	4	46	21
15	32	23	21	16	41	36	10	13
0	4	30	62	63	56	8	0	0
17	9	31	197	16	40	23	27	14
0	3	5	2	1	1	1	0	0
87	411	500	339	5022	1986	2903	3685	4949
11	35	43	70	44	37	36	25	25
243	329	336	138	578	356	158	263	340
0	24	12	8	5	0	10	4	0
54	0	3	3	7	25	0	1	0
0	1	0	1	0	2	1	0	0
89	309	238	207	156	197	168	257	61
1	0	1	0	0	0	1	0	0
78	56	45	71	83	4	31	28	22
19	22	55	183	50	79	33	59	16
59	58	75	44	96	38	155	102	66
0	0	1	0	0	0	1	0	0
