"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
8	49	31	32	44	57	142	22	10
0	2	0	0	14	0	8	4	1
0	20	41	57	0	5	92	0	3
1	4	3	1	20	11	6	1	4
36	80	52	26	62	46	40	49	66
102	97	55	55	66	65	101	56	73
62	10	12	40	4	57	56	40	47
16	10	21	17	13	9	27	9	28
128	199	189	170	208	92	134	247	89
120	32	21	85	183	23	91	115	8
11	41	20	8	28	58	73	60	6
61	96	50	58	99	70	137	49	46
50	138	101	82	95	114	85	177	83
3097	1872	528	520	1711	2686	1719	1176	1020
50	20	47	97	120	79	92	112	97
278	217	150	202	324	261	250	141	152
239	392	471	530	738	685	690	381	468
1253	5730	853	699	1589	2605	1919	2870	1367
147	206	127	166	205	250	289	79	132
6	26	14	8	8	3	28	2	8
205	32	15	0	17	0	0	0	0
0	3	6	7	6	1	13	0	12
1	12	5	1	6	5	2	16	3
11	25	12	28	21	35	22	34	38
104	223	110	148	232	178	179	83	62
0	7	0	0	0	0	0	0	0
0	71	105	115	121	94	79	88	65
125	143	132	177	287	320	116	448	231
0	3	2	0	0	0	1	2	0
2	16	7	10	16	2	5	4	1
6	1	6	0	0	0	2	5	0
389	821	258	465	343	237	272	71	280
0	24	9	0	16	7	51	9	10
0	12	1	8	3	0	0	0	0
63	231	59	156	160	64	136	203	119
0	4	1	0	0	4	1	2	1
0	34	11	9	16	2	11	19	8
0	2	1	18	0	0	0	0	0
1	10	14	10	21	14	18	43	11
22	44	26	24	194	54	95	48	35
0	16	6	9	16	23	12	7	18
1	3	4	4	0	2	6	0	2
0	0	5	0	0	0	0	0	0
442	709	278	350	780	405	662	482	432
5	38	33	48	68	13	3	66	65
2	13	5	0	13	149	5	21	8
24	23	34	53	83	48	62	25	23
3	6	6	28	20	52	22	9	30
405	287	156	364	235	390	459	159	199
11	57	24	16	60	59	26	19	23
79	196	24	111	337	319	249	170	48
101	341	81	173	284	135	227	156	30
204	173	153	77	341	303	222	141	242
0	0	2	9	0	0	2	1	0
0	0	0	0	0	2	0	3	0
10	0	8	15	4	3	5	1	17
0	0	11	23	5	18	7	6	2
13	35	29	22	27	17	12	52	35
0	0	1	0	1	2	2	0	2
0	3	1	2	1	6	9	9	1
3	1	11	6	0	0	2	0	0
0	8	0	1	1	0	8	0	10
1142	1692	815	1136	3369	1489	2108	2233	1923
16	64	25	30	43	23	28	31	40
31	47	40	43	82	49	37	84	51
0	2	0	0	0	0	0	0	0
0	15	4	0	29	5	1	0	7
0	25	0	0	5	0	8	3	2
1	0	9	1	12	8	3	0	24
160	349	256	235	517	319	231	330	249
5	8	4	8	5	8	9	5	4
159	91	27	26	115	106	132	83	108
298	500	495	683	599	483	610	471	462
10	32	24	43	31	27	27	38	47
136	378	289	409	536	417	403	448	310
99	276	123	180	402	219	224	309	106
0	0	0	1	0	0	0	8	0
922	2376	1301	1242	2934	1140	1732	2382	1457
28	66	51	53	98	80	83	54	81
0	12	1	4	1	4	2	3	3
230	1342	393	287	961	6662	3713	232	53
111	272	42	119	204	322	209	95	152
0	2	0	9	0	0	0	0	0
5	14	9	11	34	24	16	17	13
38	146	94	99	143	92	85	137	113
14	26	24	12	7	9	8	8	7
2	5	10	3	12	2	2	4	6
249	527	383	491	765	519	632	288	447
17	76	56	38	138	81	51	38	26
20	1	12	11	5	22	1	16	32
269	32	287	54	416	1172	86	56	91
17	1	0	27	10	6	5	0	18
19	48	29	43	135	84	49	20	34
1452	2468	1378	1747	2360	2216	2930	874	1425
0	0	0	2	1	0	1	0	1
0	0	1	18	2	0	1	22	19
5	3	2	2	6	5	6	4	2
1	56	28	10	45	21	17	33	21
260	553	182	191	234	622	339	93	140
9	28	16	19	30	21	26	8	14
28	104	39	33	82	35	45	28	18
7	5	3	4	2	8	12	0	0
65	156	49	39	135	171	84	44	97
250	793	254	198	892	345	868	706	302
230	40	49	67	106	133	76	115	161
48	19	24	11	39	84	35	27	66
0	23	38	22	39	18	10	43	13
2	4	1	0	5	9	3	0	1
0	42	0	89	12	4	0	0	0
32	49	46	43	53	81	37	78	92
79	197	245	241	254	267	155	176	104
1	3	6	0	3	1	8	1	7
1	8	13	23	9	5	8	8	18
106	112	111	188	128	243	179	161	123
0	16	73	87	37	19	1	114	13
0	33	26	0	246	163	66	154	808
64	70	70	69	150	80	121	51	86
6	5	4	20	9	2	2	3	1
113	265	269	192	375	433	304	226	131
737	793	471	624	549	623	530	741	523
7	27	15	14	31	31	4	3	8
1	35	5	0	3	31	3	10	4
0	13	25	19	46	13	8	39	16
1659	2244	4281	3036	5114	6255	5330	3063	16756
424	391	222	202	385	283	406	310	282
141	241	125	124	291	142	161	134	147
22	8	30	15	22	21	29	9	13
36	54	17	61	39	9	34	46	29
7	2	6	0	2	0	1	3	5
4	71	57	23	74	21	43	42	48
13	8	2	7	36	14	49	8	13
1616	1829	973	947	2014	1752	1709	1667	1876
32	165	22	50	126	43	129	94	75
32	43	18	47	58	32	33	67	38
6	45	31	53	37	23	30	24	37
6	26	17	0	26	11	16	3	45
1	19	9	26	64	9	43	29	23
6	42	82	40	20	18	23	64	33
5	27	12	4	17	12	8	4	16
26	9	8	84	5	4	3	17	11
4	54	29	32	94	29	51	70	14
0	1	3	4	0	0	3	3	2
0	103	58	71	118	128	72	61	57
5	5	0	2	3	0	2	0	0
0	0	0	0	0	0	0	0	2
0	6	8	3	5	4	23	3	0
10	9	9	0	9	0	12	0	0
1	2	0	0	1	0	0	0	0
82	50	194	94	519	138	4	234	10
140	408	186	187	460	183	357	146	225
4	6	7	0	4	0	2	2	2
36	38	11	6	22	30	20	8	27
0	1	2	0	3	0	10	0	6
10	21	14	7	85	17	25	35	31
2	3	3	0	0	3	0	1	0
1	12	35	28	57	41	13	37	7
149	288	124	118	342	112	214	333	212
0	14	3	2	15	12	25	8	8
11	42	11	8	19	15	27	18	14
0	3	6	132	0	3	0	0	0
532	135	385	534	195	618	525	308	481
27	66	52	71	51	84	99	43	37
53	22	24	41	43	33	95	13	28
648	1975	1039	1198	1213	1119	2115	1241	1187
7733	45379	15934	6467	70761	40278	54259	19406	8866
3	2	1	0	7	4	6	3	0
87	121	128	67	203	74	92	104	30
7	6	5	6	9	6	10	3	5
220	327	247	341	918	559	632	644	495
13	13	11	14	13	33	14	14	14
45	33	20	78	46	25	53	15	96
54	16	11	3	5	24	16	41	28
27	20	23	30	38	38	33	49	66
0	10	7	21	18	11	2	28	16
8	23	53	44	54	37	87	120	88
8	24	26	36	4	0	103	9	12
1209	9711	3528	2818	1535	2971	2845	277	664
8	6	0	8	4	2	2	6	1
52	79	107	201	188	296	158	100	96
110	141	150	189	203	131	230	256	280
400	760	545	656	1048	554	729	529	502
33	42	84	74	38	95	73	79	89
0	14	9	72	42	23	18	69	4
27	8	16	36	43	10	5	0	19
31	35	16	17	25	74	6	16	18
46	74	84	284	67	66	84	110	22
3	28	20	4	59	22	24	27	20
44	125	64	87	158	58	95	174	109
300	267	269	354	353	233	356	247	275
2	10	2	11	18	34	50	7	6
6	12	9	5	6	2	4	0	2
78	148	68	21	147	85	99	63	82
309	90	82	198	150	345	368	67	398
1	23	15	25	47	15	54	16	62
248	638	210	132	296	258	275	170	326
3	1	0	0	0	0	1	2	1
0	0	0	1	1	0	0	0	2
2	6	7	5	10	4	9	0	15
24	101	33	19	55	33	58	30	31
0	0	2	0	0	0	0	0	0
1	13	0	0	0	0	8	3	2
469	1525	915	1044	2422	1202	1315	976	1720
1	3	2	1	1	5	0	1	0
5	0	0	0	0	0	5	0	0
1	3	0	9	4	2	3	5	2
231	233	125	156	484	280	180	193	236
2	0	1	3	0	0	0	1	3
64	77	27	37	48	46	87	30	52
1800	2112	1119	939	2298	2645	3249	465	1158
15	193	36	48	124	53	44	94	54
20	20	8	16	20	12	9	19	8
25	83	7	2	57	22	51	33	18
130	38	36	211	103	12	279	17	84
14	17	2	11	27	8	9	4	12
70	147	66	65	163	78	109	89	54
98	404	96	116	208	129	204	191	144
15	282	14	25	416	1	73	31	13
19	15	9	43	23	45	48	20	36
0	2	2	1	3	2	14	2	0
2	0	0	2	6	16	4	2	3
8	14	26	14	148	25	29	7	13
0	0	0	1	1	0	5	0	0
172	388	162	181	499	663	520	202	351
13	2	12	14	22	30	16	24	36
22	57	20	30	41	39	36	32	24
94	40	38	55	74	52	59	71	84
98	8	19	42	38	49	54	37	35
49	116	94	128	142	91	65	174	176
996	506	351	606	887	601	669	353	757
8	6	4	5	15	14	11	28	21
57	81	44	151	85	60	111	59	120
1	2	0	4	3	4	5	1	0
136	139	88	121	137	92	167	129	189
70	354	457	213	26	115	237	15	53
0	0	3	14	7	19	5	18	0
457	464	483	380	968	774	937	400	429
0	4	1	0	0	3	0	0	20
6	5	13	17	3	10	6	8	13
39	13	36	53	54	37	49	27	49
18	23	18	19	46	32	39	36	34
113	24	38	43	64	51	26	92	44
77	36	33	27	80	67	72	60	36
10	57	27	26	51	72	52	55	28
6	12	11	21	5	16	27	4	3
558	1150	760	788	1347	821	1138	836	768
16	14	5	37	2	0	16	0	0
15	30	25	39	25	29	31	11	25
86	62	37	87	44	84	112	31	68
0	0	0	0	2	0	9	0	0
30	20	11	3	33	33	10	18	1
160	189	200	291	388	474	521	276	417
0	2	0	0	3	48	0	1	22
0	1	13	25	11	9	12	12	28
329	556	530	423	800	316	364	743	420
171	205	94	77	167	146	141	59	87
13	23	27	14	40	25	12	20	17
0	32	38	119	39	20	60	10	50
0	0	0	0	0	0	0	0	8
3	2	1	2	4	4	7	0	2
2	6	7	10	6	8	2	6	8
3	9	23	27	2	8	23	18	18
91	151	64	241	162	57	52	223	94
1	2	5	10	4	5	28	7	4
5	13	7	8	17	11	12	15	13
1	1	4	8	6	0	0	1	4
18	3	0	9	23	8	2	2	3
0	2	2	0	1	2	1	0	3
43	24	29	38	32	83	80	15	41
7	8	5	3	3	18	5	11	1
0	22	22	0	142	46	16	4	2
21	40	76	152	124	224	133	18	48
17	26	31	31	61	27	47	21	38
75	75	54	59	231	165	58	165	112
66	30	38	97	15	27	19	8	18
153	110	126	117	114	77	166	69	192
0	4	2	9	8	7	9	1	2
35	35	31	25	27	41	59	26	42
3	1	3	0	8	13	2	7	0
136	106	117	139	114	213	165	73	117
32	11	3	21	7	17	38	29	7
10	5	5	5	10	15	14	3	6
0	5	4	0	3	1	0	0	5
10	8	5	0	9	14	12	2	12
80	87	112	83	190	96	98	186	79
67	48	12	16	36	68	60	24	51
3	3	1	2	4	3	12	5	4
11	5	8	1	4	14	21	10	12
164	199	88	54	160	189	206	109	279
76	71	92	115	131	102	101	103	106
104	153	42	199	254	322	290	127	216
25	1	3	7	13	12	3	2	1
0	1	2	3	3	0	0	1	2
22	23	27	19	38	34	28	38	10
10	40	60	7	84	0	0	8	11
0	369	20	192	0	73	116	0	1
0	0	1	0	2	0	8	8	0
6	30	55	73	16	50	39	29	14
8	6	17	3	15	29	23	30	25
16	26	29	42	40	35	64	100	48
199	491	437	523	780	670	469	478	381
4	0	14	2	5	16	0	0	23
0	4	0	1	0	0	1	5	2
53	43	21	35	66	39	54	24	30
0	5	0	4	8	0	0	0	9
7	13	11	29	23	8	13	20	15
358	402	408	408	599	510	424	415	441
25	14	38	109	64	59	55	46	43
130	117	138	190	421	272	224	99	257
167	141	153	204	470	294	360	187	314
13	38	10	12	40	13	21	39	20
8	3	9	45	14	7	9	5	7
1727	520	1263	668	294	2524	1110	171	907
32	13	10	29	26	48	36	6	30
91	85	83	81	113	146	164	93	113
122	144	119	116	200	253	156	125	196
251	302	156	229	311	184	338	120	171
7	3	13	0	17	5	0	19	5
0	0	0	0	0	0	0	0	7
366	131	144	252	360	267	436	325	218
11	4	15	38	7	19	21	28	8
23	4	11	47	18	24	7	5	27
0	0	0	0	2	0	1	0	0
0	0	0	0	0	0	0	0	2
117	92	80	63	109	180	105	96	128
2	16	9	17	20	47	23	3	15
31	33	20	35	44	76	67	26	66
3489	8051	28	136	47	43	21	50	0
135	331	195	493	777	396	517	714	311
122	26	13	125	44	67	69	16	50
0	19	0	1	5	37	41	4	4
51	59	38	53	70	67	46	28	35
14	28	21	25	34	23	29	18	22
184	86	139	109	287	287	204	162	254
0	3	6	7	1	2	1	0	0
17	18	4	11	8	28	31	3	15
3	0	0	0	8	6	4	1	1
5	18	16	8	3	0	5	6	6
1315	592	416	1308	1170	825	1002	745	438
0	6	4	9	13	7	6	11	11
33	31	14	23	7	45	23	10	1
0	1	4	2	0	0	0	0	0
4	5	6	2	0	0	2	0	1
2040	3751	2118	1962	3416	1681	2348	1437	928
17	51	38	36	26	52	93	40	26
38	48	74	65	93	65	85	69	120
2	103	79	35	111	51	232	0	114
71	21	36	56	41	84	41	18	46
75	100	97	97	152	175	206	85	209
0	4	8	1	12	8	22	2	9
36	9	16	5	30	6	10	21	31
0	8	15	0	59	38	38	16	134
4	1	10	25	153	98	120	42	91
0	1	0	3	0	0	0	0	0
22295	26709	18316	21888	26402	24094	23752	11823	15951
1	42	38	14	56	61	54	39	70
0	3	1	0	0	0	1	0	5
4	1	3	1	3	6	6	3	3
0	20	9	17	28	3	14	10	11
34	77	46	39	98	46	58	26	28
10	20	28	40	60	38	25	52	40
58	69	20	54	52	57	100	44	40
39	34	45	98	69	70	76	17	82
19	31	12	12	17	11	12	18	8
2	0	0	0	0	0	0	0	0
14	22	9	43	17	3	20	13	10
31	10	9	4	28	23	19	6	6
9	14	15	36	46	27	21	38	27
41	15	8	16	16	7	17	8	8
479	635	740	616	934	758	907	452	623
3	11	6	5	14	11	1	13	5
16	25	8	7	55	28	23	36	18
146	236	211	279	385	445	469	331	330
43	45	14	24	41	35	74	25	55
1	5	3	0	4	1	1	7	1
3	1	1	1	0	2	1	1	0
1548	1022	766	1290	1274	1241	1493	685	1162
10	33	41	24	53	9	11	19	7
371	516	186	303	562	375	573	520	198
113	80	35	103	78	126	58	17	88
206	800	125	196	312	425	346	407	336
14	81	46	33	55	81	55	23	57
90	116	54	26	91	62	60	67	55
2	69	28	11	20	15	17	38	4
8	8	5	24	13	11	7	16	7
379	607	134	263	206	250	296	197	291
233	148	66	145	115	157	171	113	244
0	2	1	0	1	29	0	0	0
19	5	22	38	42	44	74	17	18
22	30	10	14	19	36	29	65	38
2	22	5	6	7	8	11	9	6
0	3	0	0	1	0	1	0	0
0	0	0	0	0	0	0	0	12
0	2	0	0	9	1	0	4	0
0	4	1	2	26	1	5	24	9
63	175	122	132	197	158	130	166	119
139	287	99	86	173	89	203	168	49
0	10	1	0	3	0	0	0	4
0	9	21	0	21	11	13	6	25
8	22	18	6	28	19	20	21	16
0	1	0	0	0	1	1	0	2
5	44	78	27	88	38	25	48	22
98	137	296	253	142	192	128	298	314
5	49	21	9	42	14	14	36	23
133	308	44	27	86	85	88	53	147
0	2	0	0	0	0	1	0	0
234	310	343	237	419	439	415	269	190
0	4	0	3	0	1	1	4	4
3	59	28	11	33	9	26	56	7
1	19	26	12	8	3	4	35	31
3	11	13	0	18	13	14	43	7
1	3	1	3	3	0	0	2	1
1	23	22	27	30	17	9	14	10
0	3	0	3	5	0	1	0	0
19	14	5	1	31	13	3	2	5
41	28	19	21	54	18	17	36	29
0	0	0	0	0	0	0	0	2
183	465	277	299	603	352	247	325	242
69	27	80	11	178	129	64	51	58
3	7	6	10	24	15	15	12	3
23	114	58	89	141	100	95	74	71
1	15	40	57	26	41	47	30	12
181	263	255	148	290	215	264	362	219
10	6	19	40	19	38	34	11	22
75	154	150	118	249	96	113	287	83
13	99	86	26	75	103	62	64	109
279	556	589	576	940	358	482	916	227
11	14	14	27	15	26	14	16	17
27	30	12	30	54	16	34	28	19
43	101	85	28	156	46	69	94	88
0	1	0	0	2	1	7	11	4
23	8	18	1	10	1	14	14	11
2	24	12	20	13	11	11	6	17
0	35	1	3	14	11	6	8	8
1	0	4	0	0	0	0	2	6
0	0	2	0	0	0	1	0	0
11	15	17	8	21	19	8	24	5
24	53	59	23	82	19	14	75	16
155	285	140	170	378	199	78	236	310
42	125	60	49	133	73	77	69	76
1203	2157	928	1258	2427	2455	2135	1524	1470
33	32	64	64	31	46	21	59	55
330	531	351	465	586	666	752	361	587
0	2	0	26	0	0	0	0	0
18	133	84	56	197	65	68	130	165
29	38	37	25	36	30	35	21	45
229	279	165	177	404	259	315	398	196
23	207	151	274	271	107	112	190	158
191	125	38	65	118	143	151	56	172
444	218	227	256	404	337	346	195	314
0	0	0	0	4	1	3	5	0
0	0	2	0	0	0	0	0	0
447	618	604	203	665	292	539	550	670
7	49	23	13	56	44	55	12	13
62	23	12	7	9	40	39	9	39
3	16	23	12	40	41	25	74	34
0	35	9	10	14	9	13	9	0
22	45	36	56	48	47	36	80	35
703	685	543	434	861	837	904	750	785
166	483	73	134	377	202	352	200	167
7	17	26	18	29	18	9	30	11
23	198	228	139	231	92	155	314	221
0	24	2	0	26	4	44	0	8
1334	1831	751	1063	2167	1826	1843	1466	1230
16	45	18	4	47	52	35	41	47
6	11	0	4	5	15	8	4	3
7	21	23	26	17	17	4	20	13
10	34	0	0	2	12	21	3	5
70	316	187	214	472	268	463	272	193
0	4	8	6	4	4	2	3	2
266	1237	571	620	1306	684	808	882	619
26	20	20	3	19	23	42	38	38
83	69	68	141	134	181	108	220	179
446	712	551	400	1127	536	626	859	670
905	1970	588	912	3004	2906	1389	842	1412
19	20	4	24	32	40	24	63	36
891	1374	650	1055	3007	1077	1148	1867	1174
0	3	0	18	7	0	7	3	2
61	111	31	80	171	82	61	76	113
5	9	2	14	19	6	7	1	13
161	317	241	475	323	119	187	169	120
6	55	20	13	48	41	32	51	25
2240	3434	2080	6091	6505	4171	3944	6939	6666
139	338	96	102	266	112	173	128	80
0	7	4	15	0	1	7	0	0
0	6	1	0	3	0	5	1	0
197	228	136	241	247	258	229	162	214
60	71	32	26	91	92	50	40	57
671	633	411	281	1924	623	491	651	667
0	0	0	0	0	4	0	0	0
14	52	17	55	48	29	28	17	31
397	753	309	1082	383	553	720	341	603
0	35	27	7	23	102	56	60	12
417	219	128	104	114	177	192	7	84
77	142	133	88	216	160	159	142	223
31	46	24	28	32	60	35	23	39
173	86	99	160	363	121	111	97	258
31	69	38	29	60	54	27	59	28
2	44	36	26	25	28	3	41	51
0	3	5	12	0	2	0	0	0
12	8	3	1	9	7	10	1	4
96	61	84	39	105	139	70	6	163
17	10	0	152	1	1	0	0	9
0	11	6	8	5	6	14	28	5
0	6	1	9	21	12	21	3	6
76	62	44	71	128	111	59	55	90
18	8	7	15	6	3	0	6	1
3	2	1	0	0	0	0	0	0
20	28	30	34	56	34	46	41	25
10	23	9	19	33	16	6	16	9
74	132	469	334	252	199	152	127	975
21	52	17	6	105	20	28	28	38
0	0	1	0	0	1	0	0	0
0	6	0	0	0	0	1	0	0
0	10	33	5	62	36	40	51	35
34	83	39	25	97	91	80	29	78
324	64	63	217	143	224	122	99	256
17	7	8	17	21	21	18	11	28
373	654	360	582	669	611	509	411	573
2954	2734	2456	2872	4292	3834	5020	2539	3692
127	117	139	442	439	123	122	209	239
36	45	18	4	57	49	23	32	40
0	0	0	0	0	0	3	0	0
56	38	18	25	40	26	66	10	27
23	19	36	15	51	29	23	16	23
148	94	9	48	173	145	360	11	79
0	1	0	0	0	0	2	4	1
129	270	77	89	128	133	125	100	79
33	62	23	23	44	16	31	32	56
10	55	22	14	16	37	12	11	20
412	757	500	563	859	1285	949	409	785
4	27	8	20	8	4	7	11	9
0	3	0	0	5	0	0	0	11
24	72	30	52	48	33	35	28	22
1	1	0	0	0	0	11	0	0
0	9	0	0	0	0	0	0	0
10	13	1	14	4	11	15	6	10
0	5	2	7	6	5	0	3	3
4	4	0	0	1	3	2	0	0
0	0	4	0	0	0	2	0	0
12	65	6	23	13	18	53	16	13
92	290	286	422	87	129	414	23	11
14	6	15	14	8	1	11	12	14
82	171	63	75	142	73	166	77	82
25	90	22	41	85	28	50	45	59
1	4	1	0	0	0	1	4	0
123	1240	335	310	511	519	830	264	269
0	13	11	0	7	16	20	21	5
116	418	280	97	281	113	108	301	63
1	0	4	0	4	5	2	0	5
0	2	0	0	0	0	0	0	0
48	62	64	42	29	49	53	34	32
36	129	13	87	85	113	151	33	84
2	6	0	0	0	30	0	0	0
29	27	11	56	32	3	11	29	0
0	13	27	3	2	8	17	0	14
872	1677	498	543	306	1325	1129	313	556
0	0	8	0	0	0	0	0	0
18	46	81	74	9	11	102	9	27
6	6	11	9	7	5	0	1	0
27	21	16	4	18	20	21	2	13
0	1	0	3	2	0	0	0	0
0	2	5	5	4	3	1	0	0
89	77	59	56	46	67	83	61	55
210	638	581	378	1418	384	364	1184	558
114	490	294	627	390	305	452	253	398
224	663	113	177	187	139	294	123	229
15	26	5	10	17	11	11	13	3
177	1425	283	213	475	408	427	565	348
993	1254	594	1094	1654	1450	1305	511	1111
1001	5808	1732	789	968	1712	2340	1377	1153
74	55	52	109	70	104	70	100	55
152	153	145	138	75	175	237	177	218
0	2	15	2	2	14	5	0	18
0	2	2	1	1	2	0	1	1
462	246	204	259	325	376	210	359	405
5	13	5	6	16	18	15	10	13
6	0	1	1	3	2	2	1	10
788	3229	1644	2439	3644	2860	3150	1774	2644
0	0	0	0	0	0	6	0	2
0	2	1	5	1	1	2	0	0
0	0	1	0	3	0	0	0	0
154	174	137	198	167	162	211	138	169
1	0	14	26	28	21	14	28	11
400	617	197	174	329	210	325	152	168
7	13	2	25	23	0	7	3	12
0	0	1	2	2	0	1	0	0
11	5	2	0	10	9	2	0	0
13	11	11	9	18	9	30	1	15
0	0	3	3	5	2	2	0	1
0	4	6	18	0	1	12	0	0
12	7	8	12	9	7	14	6	7
0	3	2	1	1	10	2	6	1
18	20	42	49	40	8	24	18	44
0	0	0	4	0	0	0	0	1
102	424	210	77	306	105	265	142	198
561	291	250	249	626	355	555	309	383
39	39	8	14	32	11	28	7	21
50	228	100	45	163	51	74	68	39
81	188	87	162	268	151	189	205	218
4	28	19	8	36	2	15	36	18
0	3	1	16	9	1	2	3	1
553	850	963	1449	2100	817	1359	1469	1238
8	1	3	0	0	0	0	0	3
0	2	7	4	1	18	10	16	7
2	5	0	11	10	1	6	10	8
0	4	0	0	0	0	0	0	0
20	65	23	28	76	45	65	30	83
2	9	11	2	13	12	7	1	6
11	30	16	11	14	6	8	9	8
0	36	9	50	1	3	20	0	21
0	3	3	0	1	12	23	0	0
0	0	0	9	0	0	3	14	0
14	18	11	28	62	47	50	42	56
7	19	22	6	19	4	6	9	9
41	28	9	23	38	38	40	23	68
25	13	21	156	225	150	96	93	102
18	94	26	40	172	126	203	33	59
0	2	2	0	5	1	12	0	1
3227	2327	5116	3764	2266	13362	2421	3502	1416
0	0	0	8	1	0	0	0	0
13	33	10	15	15	21	7	27	11
8	26	5	13	18	28	11	13	25
10	7	11	5	8	14	16	5	31
96	55	29	19	48	55	54	95	48
4	6	5	2	19	24	0	1	13
438	315	187	231	317	238	221	140	355
82	120	174	124	339	213	183	367	187
5	13	41	13	70	147	13	35	59
3	4	1	9	2	4	5	1	5
8	5	1	0	3	1	0	1	0
4	7	4	0	9	23	8	1	5
0	1	1	4	0	0	0	0	0
0	1	0	0	0	0	1	0	0
10	68	9	25	30	18	11	13	30
16	7	11	3	15	17	14	12	8
0	0	0	7	1	0	0	5	0
37	14	35	15	17	28	10	15	33
3	1	2	1	1	2	5	3	9
0	0	1	0	0	0	1	0	0
13	13	8	21	17	40	31	11	12
0	6	2	1	6	8	8	4	12
258	71	101	112	138	324	181	190	219
19	61	54	25	105	90	34	131	50
19	10	13	0	25	6	7	30	14
0	1	2	0	0	0	0	0	0
385	224	142	183	393	167	205	55	513
238	209	123	292	291	379	318	224	292
0	0	0	0	3	0	0	0	3
0	1	1	10	5	7	0	2	1
1724	2561	1183	1090	3089	4120	1565	2003	638
161	250	98	74	89	197	118	117	196
254	336	131	111	259	123	110	123	168
5	3	13	19	16	3	12	21	32
1	2	0	1	0	0	0	1	1
1	5	3	8	4	15	6	1	0
21	40	44	45	132	148	5	46	12
0	0	0	0	2	0	0	0	0
1	20	25	10	5	7	10	26	12
371	1588	463	432	965	1143	716	1004	624
12	34	8	17	23	8	18	49	13
0	4	0	0	0	0	0	0	0
17	23	23	10	11	19	15	17	37
112	211	173	166	385	274	133	193	354
12	64	33	59	55	26	20	41	36
16	150	69	41	183	106	35	363	66
5	5	11	0	3	9	6	18	21
222	206	87	120	190	188	165	185	117
29	0	1	1	0	0	0	0	0
1	28	10	2	0	0	3	0	0
199	238	54	18	287	157	117	51	105
508	446	170	210	425	245	342	203	289
23	13	12	9	2	8	6	3	10
3129	6715	1374	1285	2536	4309	2158	1892	1352
1	16	4	0	30	12	4	6	5
2	5	10	9	7	5	10	3	2
7	10	0	0	4	0	0	0	0
9	1	0	0	6	2	0	0	4
41	94	97	41	78	46	41	106	50
154	1406	643	239	1650	877	694	553	899
0	0	0	6	0	0	6	5	0
402	360	263	534	678	1075	461	603	550
1	0	1	0	2	2	3	0	0
493	524	215	286	455	688	607	346	290
20	157	123	84	234	304	162	126	108
0	1	0	0	0	1	1	0	0
3	3	0	0	0	1	4	0	0
0	11	25	0	10	24	5	3	8
0	12	10	2	9	0	0	8	4
269	35	27	123	46	24	68	6	31
155	420	849	111	1359	852	610	793	2345
0	0	0	0	4	0	0	15	0
387	585	256	237	247	393	250	19	357
26	110	76	73	97	108	84	203	95
268	53	80	35	71	112	464	84	44
3	22	1	0	63	52	26	56	109
42	49	19	93	65	47	63	39	32
469	1054	200	688	590	1168	1206	548	386
0	2	4	7	11	20	17	2	9
253	167	86	26	83	114	347	151	103
40	50	27	42	39	37	59	78	44
0	0	0	6	3	2	0	0	0
3	9	6	2	13	12	0	6	13
0	2	4	0	3	0	0	0	0
2	18	0	0	1	3	0	0	18
10	82	13	33	50	40	30	47	26
197	148	94	70	333	163	67	182	120
4	2	2	2	0	10	2	0	0
0	5	2	36	11	9	2	0	0
0	16	13	0	0	3	0	0	0
0	0	2	0	0	0	0	0	0
2	26	12	3	60	10	22	19	7
51	22	40	26	67	41	13	10	44
2	0	0	0	1	0	0	0	5
100	37	53	43	25	83	53	62	79
6	4	3	1	0	0	5	0	4
20	19	21	16	109	65	64	21	77
81	82	71	70	59	91	61	14	25
40	34	75	31	138	50	94	43	42
10	23	27	62	81	48	114	17	77
455	666	434	651	513	500	374	266	649
77	111	61	78	149	83	137	35	101
0	0	4	1	0	0	3	0	0
4	2	4	0	1	0	0	0	0
1617	7583	3102	4820	5203	3605	2073	2041	3661
44	100	107	103	104	94	87	43	116
40	106	36	49	123	62	26	46	57
313	175	70	89	104	61	91	136	212
395	893	509	414	914	665	308	401	461
13	84	25	25	114	53	43	36	30
23	54	57	45	71	55	62	15	32
527	783	519	438	977	506	418	459	596
1	7	6	2	12	8	3	7	5
1	0	5	5	4	2	3	1	0
89	192	73	111	284	211	78	72	80
0	0	0	0	0	2	0	0	0
22	96	50	19	86	132	51	22	81
1	4	1	26	6	2	6	4	0
242	271	421	414	361	346	241	433	633
54	92	34	77	40	89	55	25	43
0	12	70	589	5	150	818	0	38
186	1	13	475	13	25	22	4	86
49	23	31	120	67	40	42	87	51
81	131	119	229	165	195	164	18	228
50	46	63	59	124	114	172	55	117
180	108	59	278	246	269	342	140	305
17	33	20	37	57	26	33	48	25
14	26	22	51	41	59	53	13	26
6	12	18	20	14	45	39	32	7
4	1	0	0	0	0	8	1	3
234	121	188	336	387	382	262	233	351
0	0	0	0	1	0	1	0	0
83	62	39	28	111	41	57	47	34
18	8	26	30	27	45	40	24	12
81	66	37	59	87	138	73	49	80
5	4	9	1	6	9	1	5	1
20	25	49	50	48	94	59	34	73
13	24	53	34	43	47	27	36	53
32	29	37	35	61	83	53	22	68
