Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR1382274	0.0631766653445902	0	0.0386329467722132	0	0	0.100225721236383	0	0.0310103738262418	0.0111171851379469	0	0.0351105768761681	0.00117013431424024	0	0.306409527264233	0.147861827383222	0	0.0503591258625064	0	0	0.194580289163188	0	0.0203456268190665	0.021	0.208693310151961	1.02601412079532
SRR1382275	0.203390580709247	0	0.115995094447815	0.016870671504103	0	0.0996381943213919	0.061795781556285	0.0225249110659585	0	0	0.0521861255283979	0	0	0.228804554959929	0.0496713834661448	0.0297662489815832	0	0	0	0.116695283474412	0	0.0026611699847328	0.001	0.398926633246615	0.919011362426639
SRR1382276	0.152169783084272	0	0.0442714852696425	0	0	0.34434433950444	0	0.0990688615976853	0.0216101243479747	0	0.030357066345944	0	0	0.21228288441549	0.0293336625633094	0.0108440619424777	0	0	0	0.0422278070502471	0	0.0134899238785173	0.02	0.22031474338539	1.0074481496974
SRR1382277	0.128464872225122	0	0.1063054790215	0	0	0.350841311037644	0	0.0751205302081509	0.0114153542568625	0	0.102016030415305	0	0.00513241513408884	0.0873650426682703	0.0172961494865075	0.00289980693094698	0	0	0	0.0811633952147873	0	0.0319796134008154	0.013	0.271472750806709	0.983094351656064
SRR1382278	0.0516393431994468	0	0.0966052555070059	0.0130584876375827	0	0.288276103996152	0.225270889781959	0.0193193060946444	0	0	0.0313402031028937	0.0107766592739919	0.006048772475304	0.0715181933364379	0.0191250933595072	0.0219613814039785	0	0.00815859422793996	0	0.129535663790477	0	0.00736605281267927	0.019	0.228696995167182	0.996243493975503
SRR1382279	0.0552855112717032	0	0.013235834600852	0	0	0.377407062379889	0.0358351219729139	0.000856630649668879	0.0577776045062358	0	0.138223592205314	0	0.0107427017087966	0.0967246472710231	0.0260887153193898	0	0.0487216859445525	0.0403125868947899	0	0.0907032624052307	0	0.00808504286964101	0.099	0.0852098885481914	1.06521196037221
SRR1382280	0	0.115233922778607	0.0171800806570192	0	0	0.223757791608982	0	0.00253201877579735	0.0440270089580835	0	0.130635009806215	0	0	0.304466373413893	0.0294480590168269	0	0	0.0745220943431317	0	0.0434177059767958	0	0.0147799346646486	0.03	0.165680053613764	1.02811632832172
SRR1382281	0.0164674173211566	0.0468297618069467	0.0068595660554733	0	0	0.117715004858509	0.49164226593196	0.0534046641106609	0	0	0.0703608993521892	0	0.0204827332873413	0.0445330169090611	0.0137002786423721	0.0342650324083395	0	0.00473797644995221	0	0.0605128254373113	0	0.0184885574287259	0.034	0.159610718175994	1.03156310895269
SRR1382282	0.192868919567379	0	0.071510522584631	0	0	0.310700138147616	0.0866502625103012	0.0719220916965937	0	0	0.0659984318935418	0	0.00455922619883157	0.0692513488330602	0.0126895937569661	0.00201028482454714	0.0575822477229811	0.0228139586262359	0.0165384178568851	0.00686215668998635	0	0.00804239909044371	0.00900000000000001	0.316223957276785	0.958415680308571
