Gene Symbol	SRR1382274	SRR1382275	SRR1382276	SRR1382277	SRR1382278	SRR1382279	SRR1382280	SRR1382281	SRR1382282
A1BG	0	0	0	27.0050930525293	0	0	0	0	92.0172018432379
A1BG-AS1	4.12355764203449	3.86622000381611	4.03734373385378	0	0	1.20257314214453	1.28590966636974	0	3.58525867796872
A2M	11878.8144741537	31785.4684720089	62348.1882981317	41285.0320602355	31482.9058853422	11970.6724453088	44251.2217681784	26644.7615030884	15951.7967320054
A2M-AS1	0	0	0	0	0	0.623540892487648	0	3.66836370943424	0
A2ML1	32.9219521420495	38328.0135230141	9582.78516039453	3086.583711163	9471.65172477095	51112.693094166	26741.1546039246	764.358433824705	29266.2476845455
A3GALT2	12444.5811299984	2895.36499889352	10131.1783596677	3047.85742241409	3710.60716339772	10074.0809755689	761.062840585134	8374.87368628756	10961.3163426575
A4GALT	0	4.31031284209229	0	0	0	4.02211963082122	0	0	0
A4GNT	0	9.33358824501821	0	113.740898399261	1.43215012335394	6.12631600715136	0	0	0
AAAS	5814.17601306064	3727.62845680741	3653.23890988298	3753.2331575106	2294.44626666895	2912.61507668791	2806.72398660139	5277.11844834511	3685.61009335814
AACS	1772.86573188693	659.660046753251	860.81714130663	972.273620456373	812.227977784984	1743.20193470234	1879.39088682456	583.345894778026	1051.56034705482
AADAC	100.648995125229	0	0	0	0	5.86797738034378	0	71.9208219045705	2.91572241882998
AADACL2	0	0	13.4427252124952	43.1112696264594	29.9531308310438	0	0	1648.95416248291	83.5622510257508
AADACL3	0	0	0	0	0	41.1479519835167	0	0	0
AADACL4	10.9739840473498	59.8055906840305	0	0	0	774.544473666394	17.5997774613739	0	0
AADAT	0	16.6208275501892	0	19.2276262534009	0	42.3236679334142	65.6486425849764	0	0
AAGAB	0	37.9718036089083	0	1.07681598641358	32.3739157897626	0	0.855544737705674	100.16067323715	21.1274172094585
AAK1	790.754425298528	625.880545636194	1673.2264091698	1866.20198913348	1289.45106842552	585.306413385965	821.198397519901	1545.6471389698	1622.55546901715
AAMDC	30.0170740118687	135.344489798136	131.872888365303	82.9730707137553	65.1437160058477	0	83.1795886014187	85.5278561423588	227.922673110092
AAMP	1495.02289472719	681.428264933393	495.051917591676	655.015294236845	907.047617832072	655.192713305315	1090.43504056261	941.073876904162	720.962340756477
AANAT	0	45.4797829765085	51.3896180980531	11.3907738468015	80.0498097449961	8.46360718523518	67.07433671938	22.5132721367564	260.834486890764
AAR2	2.98900899695145	9.47683116783107	0.975505279006323	0	3.26043679238014	32.0885099977208	8.69966220755838	2.56415400190848	1.7325444636458
AARS1	1101.12077169558	573.77991805591	613.325267069402	527.869416976886	645.030648700373	717.932816097133	606.977606844031	657.07591391228	564.178196268155
AARS2	18408.618215538	15302.3699291024	11305.6264965398	11586.8593736449	7758.22820995453	10377.9703157691	14980.9078796153	27100.0749986305	14926.4963402748
AARSD1	745.332409060602	1940.27959126279	743.332053955454	1136.16189629694	950.21805593786	863.82525837306	854.130831627964	496.893980114181	1106.08425494343
AARSD1P1	15.308707746053	38.2755780377795	29.9772772238643	6.00863320418778	8.34943521915347	53.5746334825387	0	19.6991131196619	6.65513642097944
AASDH	8.1213303692589	5.07633660978508	5.30102161341544	6.37520764370056	4.94326927673825	1.57897534578658	6.75358392416999	0	9.41487026840593
AASDHPPT	8.64356146263973	36.9341461298566	12.2241092820024	3.76953149572633	6.28564759283825	7.28220655868886	12.883332408797	7.41497357076356	15.8654444163876
AASS	131.783316989967	150.809960946717	499.484992976335	163.279548806876	544.887224483756	456.713543170148	325.737078103811	42.4512876739229	638.658484561459
AATBC	0	0	0	0	0.443293613971514	0.474069847646568	0.50692218066341	0	0.706677613058608
AATF	1816.72252432314	1280.59785912295	1538.86924921285	1629.47822082507	2149.684224049	559.337346269623	797.676962499524	1897.3489676748	1507.05782407185
AATK	77.3516907228924	135.386095043134	664.943166687045	327.716860183023	405.400837154751	157.085320727446	44.6431760869766	141.480103853545	195.924402770317
ABALON	0	1.00566416284234	0	0	0	0	1.00345551999951	0	1.39887260556583
ABAT	193.002775497796	95.2830926186289	327.028727381171	94.8731558555965	480.324307749807	832.973398480882	55.5774256015342	794.876494302146	3439.77674653779
ABCA1	1136.27043800715	1220.02047495008	1729.01927784274	682.688326706468	775.254765606645	1602.89752813274	1284.37804091566	2005.31788289545	3146.84647115803
ABCA10	65.1434372172469	67.9743938010638	62.4663596461309	20.4549215461712	39.3135489820719	10.1323183891326	175.924726502517	101.08911804575	160.846853613431
ABCA11P	25.8626641583742	19.9252148388239	17.0486884685484	34.8525113497098	4.25070945443878	5.92452502966463	24.4065162851545	34.0717107106803	20.9395711009584
ABCA12	1353.33935037738	3660.12208828488	4383.87859160811	2428.0969955514	3126.43051112009	4468.21142986084	5011.3399443255	732.200961083241	16585.3764321779
ABCA13	142.884238926008	149.748819209343	2668.2566975351	34.0474164474307	3323.21338831725	398.844582982546	714.239980477332	7034.13547955796	7434.88271231264
ABCA17P	0	65.7561072331552	0	0	0	36.4135070922237	34.719560991983	23.8777128723174	30.0797126371952
ABCA2	1120.39554876193	1869.7550986885	2037.18315751516	2517.60636364025	771.290867890302	931.592214390619	1188.39977273138	1711.20123506695	4137.98223882191
ABCA3	0	87.4870355149246	0	6.8670093762146	0	0	8.78852412743962	0	0
ABCA4	218.695824943615	59.4177881088494	13.5032780287677	14.6106582472651	0	0	160.231462722654	498.960007494234	60.3764953655867
ABCA5	0	283.241660457368	154.310694241635	80.979034065788	321.967150858791	236.58647803325	208.302725119401	424.297037046501	408.672165554925
